1	5	5
1	5	5
1	5	4
1	5	3
2	5	4
2	5	4
3	5	5
3	5	3
3	5	5
3	5	3
3	5	4
4	5	4
4	5	3
4	5	4
5	5	4
5	5	4
5	5	2
5	5	3
5	5	4
5	5	5
5	5	4
6	5	5
7	5	5
7	5	3
8	5	5
8	5	4
8	5	5
8	5	5
8	5	3
9	5	3
9	5	4
9	5	5
10	5	3
10	5	5
10	5	4
10	5	4
10	5	4
11	5	4
12	5	5
12	5	4
12	5	5
12	5	4
12	5	5
12	5	4
12	5	4
13	5	4
13	5	5
13	5	3
14	5	4
14	5	4
14	5	3
14	5	3
14	5	3
15	5	5
15	5	4
15	5	4
16	5	4
17	5	4
17	5	4
18	5	2
18	5	4
18	5	4
19	5	5
19	5	4
19	5	4
19	5	2
19	5	5
19	5	4
19	5	5
20	5	4
20	5	4
21	5	5
21	5	4
21	5	3
22	5	3
22	5	4
22	5	4
22	5	4
23	5	4
23	5	4
23	5	5
23	5	3
23	5	4
24	5	4
24	5	4
24	5	5
24	5	5
24	5	5
24	5	5
24	5	3
25	5	4
25	5	4
26	5	4
26	5	5
26	5	5
26	5	4
27	5	4
27	5	4
27	5	3
27	5	3
27	5	4
28	5	3
28	5	4
28	5	5
28	5	4
28	5	3
28	5	5
29	5	5
29	5	4
29	5	4
29	5	2
29	5	4
30	5	3
30	5	4
30	5	5
31	5	3
31	5	5
31	5	3
32	5	5
32	5	4
32	5	3
32	5	5
32	5	4
33	5	4
33	5	3
33	5	3
33	5	4
33	5	5
33	5	2
33	5	4
33	5	4
34	5	4
34	5	4
34	5	3
35	5	3
35	5	3
36	5	4
36	5	2
36	5	4
36	5	4
36	5	4
36	5	4
36	5	2
37	5	4
37	5	3
37	5	4
38	5	3
38	5	4
38	5	4
38	5	4
38	5	5
39	5	2
39	5	3
39	5	3
39	5	3
39	5	4
40	5	5
41	5	5
41	5	5
42	5	5
42	5	4
43	5	5
44	5	5
44	5	4
44	5	4
44	5	4
44	5	3
45	5	3
45	5	2
45	5	4
46	5	3
46	5	3
46	5	4
47	5	4
47	5	3
47	5	4
48	5	4
48	5	4
48	5	5
48	5	5
49	5	4
49	5	3
49	5	4
49	5	5
49	5	3
49	5	4
50	5	5
50	5	4
